administered_date,county,total_vax
2021-02-15,Alameda,70271
2021-02-15,Alpine,140
2021-02-15,Amador,1144
2021-02-15,Butte,11534
2021-02-15,Calaveras,1277
2021-02-15,Colusa,313
2021-02-15,Contra Costa,55177
2021-02-15,Del Norte,755
2021-02-15,El Dorado,9301
2021-02-15,Fresno,39724
2021-02-15,Glenn,915
2021-02-15,Humboldt,5796
2021-02-15,Imperial,4080
2021-02-15,Inyo,1238
2021-02-15,Kern,24388
2021-02-15,Kings,2725
2021-02-15,Lake,1972
2021-02-15,Lassen,885
2021-02-15,Los Angeles,431247
2021-02-15,Madera,4645
2021-02-15,Marin,17463
2021-02-15,Mariposa,396
2021-02-15,Mendocino,7349
2021-02-15,Merced,5820
2021-02-15,Modoc,532
2021-02-15,Mono,2104
2021-02-15,Monterey,13206
2021-02-15,Napa,11418
2021-02-15,Nevada,3244
2021-02-15,Orange,142961
2021-02-15,Placer,21451
2021-02-15,Plumas,671
2021-02-15,Riverside,62776
2021-02-15,Sacramento,57309
2021-02-15,San Benito,1659
2021-02-15,San Bernardino,70125
2021-02-15,San Diego,154451
2021-02-15,San Francisco,37696
2021-02-15,San Joaquin,20772
2021-02-15,San Luis Obispo,12315
2021-02-15,San Mateo,42991
2021-02-15,Santa Barbara,19281
2021-02-15,Santa Clara,85511
2021-02-15,Santa Cruz,11900
2021-02-15,Shasta,6503
2021-02-15,Sierra,232
2021-02-15,Siskiyou,2398
2021-02-15,Solano,22255
2021-02-15,Sonoma,21837
2021-02-15,Stanislaus,20057
2021-02-15,Statewide,1642624
2021-02-15,Sutter,3311
2021-02-15,Tehama,1409
2021-02-15,Trinity,215
2021-02-15,Tulare,13336
2021-02-15,Tuolumne,1997
2021-02-15,Ventura,34376
2021-02-15,Yolo,9466
2021-02-15,Yuba,1500
2021-04-15,Alameda,520371
2021-04-15,Alpine,555
2021-04-15,Amador,9142
2021-04-15,Butte,53465
2021-04-15,Calaveras,10777
2021-04-15,Colusa,4341
2021-04-15,Contra Costa,358647
2021-04-15,Del Norte,5208
2021-04-15,El Dorado,48461
2021-04-15,Fresno,227208
2021-04-15,Glenn,6148
2021-04-15,Humboldt,32712
2021-04-15,Imperial,37350
2021-04-15,Inyo,5162
2021-04-15,Kern,161802
2021-04-15,Kings,22377
2021-04-15,Lake,15597
2021-04-15,Lassen,4785
2021-04-15,Los Angeles,2522670
2021-04-15,Madera,31567
2021-04-15,Marin,107157
2021-04-15,Mariposa,2785
2021-04-15,Mendocino,28811
2021-04-15,Merced,45376
2021-04-15,Modoc,2119
2021-04-15,Mono,6095
2021-04-15,Monterey,104459
2021-04-15,Napa,49449
2021-04-15,Nevada,24153
2021-04-15,Orange,809638
2021-04-15,Placer,111086
2021-04-15,Plumas,4608
2021-04-15,Riverside,487563
2021-04-15,Sacramento,366404
2021-04-15,San Benito,13845
2021-04-15,San Bernardino,390820
2021-04-15,San Diego,890018
2021-04-15,San Francisco,311541
2021-04-15,San Joaquin,149502
2021-04-15,San Luis Obispo,73614
2021-04-15,San Mateo,256483
2021-04-15,Santa Barbara,110467
2021-04-15,Santa Clara,513216
2021-04-15,Santa Cruz,81417
2021-04-15,Shasta,32788
2021-04-15,Sierra,1110
2021-04-15,Siskiyou,10266
2021-04-15,Solano,116152
2021-04-15,Sonoma,164795
2021-04-15,Stanislaus,107842
2021-04-15,Statewide,10094980
2021-04-15,Sutter,22743
2021-04-15,Tehama,9098
2021-04-15,Trinity,2481
2021-04-15,Tulare,98163
2021-04-15,Tuolumne,14838
2021-04-15,Ventura,233215
2021-04-15,Yolo,61028
2021-04-15,Yuba,12478
