race,date,count,frac
American Indian or Alaska Native,2020-12-15,0,0
American Indian or Alaska Native,2020-12-16,0,0
American Indian or Alaska Native,2020-12-17,0,0
American Indian or Alaska Native,2020-12-18,0,0
American Indian or Alaska Native,2020-12-19,0,0
American Indian or Alaska Native,2020-12-20,0,0
American Indian or Alaska Native,2020-12-21,0,0
American Indian or Alaska Native,2020-12-22,0,0
American Indian or Alaska Native,2020-12-23,0,0
American Indian or Alaska Native,2020-12-24,0,0
American Indian or Alaska Native,2020-12-25,0,0
American Indian or Alaska Native,2020-12-26,0,0
American Indian or Alaska Native,2020-12-27,0,0
American Indian or Alaska Native,2020-12-28,0,0
American Indian or Alaska Native,2020-12-29,0,0
American Indian or Alaska Native,2020-12-30,0,0
American Indian or Alaska Native,2020-12-31,0,0
American Indian or Alaska Native,2021-01-01,0,0
American Indian or Alaska Native,2021-01-02,0,0
American Indian or Alaska Native,2021-01-03,0,0
American Indian or Alaska Native,2021-01-04,0,0
American Indian or Alaska Native,2021-01-05,11,7.933803230861052e-5
American Indian or Alaska Native,2021-01-06,77,5.553662261602736e-4
American Indian or Alaska Native,2021-01-07,167,0.0012044955814125415
American Indian or Alaska Native,2021-01-08,285,0.002055576291632182
American Indian or Alaska Native,2021-01-09,322,0.0023224405821247805
American Indian or Alaska Native,2021-01-10,344,0.0024811166467420018
American Indian or Alaska Native,2021-01-11,487,0.0035125110667539386
American Indian or Alaska Native,2021-01-12,586,0.004226553357531433
American Indian or Alaska Native,2021-01-13,693,0.0049982960354424625
American Indian or Alaska Native,2021-01-14,745,0.00537334855181044
American Indian or Alaska Native,2021-01-15,783,0.005647425390694731
American Indian or Alaska Native,2021-01-16,801,0.005777251261745184
American Indian or Alaska Native,2021-01-17,811,0.005849376745662103
American Indian or Alaska Native,2021-01-18,865,0.006238854358813464
American Indian or Alaska Native,2021-01-19,989,0.007133210359383255
American Indian or Alaska Native,2021-01-20,1112,0.008020353811561354
American Indian or Alaska Native,2021-01-21,1169,0.00843146906988779
American Indian or Alaska Native,2021-01-22,1226,0.008842584328214227
American Indian or Alaska Native,2021-01-23,1256,0.009058960779964983
American Indian or Alaska Native,2021-01-24,1262,0.009102236070315134
American Indian or Alaska Native,2021-01-25,1375,0.009917254038576314
American Indian or Alaska Native,2021-01-26,1511,0.010898160619846409
American Indian or Alaska Native,2021-01-27,1649,0.011893492297899886
American Indian or Alaska Native,2021-01-28,1783,0.012859973782386597
American Indian or Alaska Native,2021-01-29,1906,0.013747117234564695
American Indian or Alaska Native,2021-01-30,1938,0.013977918783098835
