Entity,Code,Day,daily_vaccinations,state_population
Alabama,,1/13/21,5906,4934190
Alabama,,1/14/21,7083,4934190
Alabama,,1/15/21,7478,4934190
Alabama,,1/16/21,7498,4934190
Alabama,,1/17/21,7509,4934190
Alabama,,1/18/21,7517,4934190
Alabama,,1/19/21,7523,4934190
Alabama,,1/20/21,7880,4934190
Alabama,,1/21/21,10517,4934190
Alabama,,1/22/21,14107,4934190
Alabama,,1/23/21,16202,4934190
Alabama,,1/24/21,18294,4934190
Alabama,,1/25/21,18196,4934190
Alabama,,1/26/21,17738,4934190
Alabama,,1/27/21,18178,4934190
Alabama,,1/28/21,16153,4934190
Alabama,,1/29/21,14514,4934190
Alabama,,1/30/21,17271,4934190
Alabama,,1/31/21,15748,4934190
Alabama,,2/1/21,15381,4934190
Alabama,,2/2/21,16703,4934190
Alabama,,2/3/21,17414,4934190
Alabama,,2/4/21,18491,4934190
Alabama,,2/5/21,18526,4934190
Alabama,,2/6/21,16105,4934190
Alabama,,2/7/21,15480,4934190
Alabama,,2/8/21,15622,4934190
Alabama,,2/9/21,17012,4934190
Alabama,,2/10/21,18209,4934190
Alabama,,2/11/21,19258,4934190
Alabama,,2/12/21,20074,4934190
Alabama,,2/13/21,20855,4934190
Alabama,,2/14/21,21417,4934190
Alabama,,2/15/21,22405,4934190
Alabama,,2/16/21,20816,4934190
Alabama,,2/17/21,19174,4934190
Alabama,,2/18/21,18400,4934190
Alabama,,2/19/21,24002,4934190
Alabama,,2/20/21,25111,4934190
Alabama,,2/21/21,25194,4934190
Alabama,,2/22/21,24164,4934190
Alabama,,2/23/21,25489,4934190
Alabama,,2/24/21,27098,4934190
Alabama,,2/25/21,27531,4934190
Alabama,,2/26/21,22104,4934190
Alabama,,2/27/21,22022,4934190
Alabama,,2/28/21,21984,4934190
Alabama,,3/1/21,22111,4934190
Alabama,,3/2/21,22436,4934190
Alabama,,3/3/21,22904,4934190
Alabama,,3/4/21,23916,4934190
Alabama,,3/5/21,24388,4934190
Alabama,,3/6/21,24087,4934190
Alabama,,3/7/21,23947,4934190
Alabama,,3/8/21,24040,4934190
Alabama,,3/9/21,24118,4934190
Alabama,,3/10/21,24827,4934190
Alabama,,3/11/21,25376,4934190
Alabama,,3/12/21,26375,4934190
Alabama,,3/13/21,26935,4934190
Alabama,,3/14/21,26926,4934190
Alabama,,3/15/21,27106,4934190
Alabama,,3/16/21,27331,4934190
Alabama,,3/17/21,27167,4934190
Alabama,,3/18/21,25752,4934190
Alabama,,3/19/21,25356,4934190
Alabama,,3/20/21,24649,4934190
Alabama,,3/21/21,24865,4934190
Alabama,,3/22/21,24693,4934190
Alabama,,3/23/21,25307,4934190
Alabama,,3/24/21,25490,4934190
Alabama,,3/25/21,27004,4934190
Alabama,,3/26/21,26387,4934190
Alabama,,3/27/21,26439,4934190
Alabama,,3/28/21,26634,4934190
Alabama,,3/29/21,26759,4934190
Alabama,,3/30/21,26885,4934190
Alabama,,3/31/21,26617,4934190
Alabama,,4/1/21,27555,4934190
Alabama,,4/2/21,28865,4934190
Alabama,,4/3/21,28769,4934190
Alabama,,4/4/21,28533,4934190
Alabama,,4/5/21,28325,4934190
Alabama,,4/6/21,28468,4934190
Alabama,,4/7/21,29498,4934190
Alabama,,4/8/21,29195,4934190
Alabama,,4/9/21,29696,4934190
Alabama,,4/10/21,31155,4934190
Alabama,,4/11/21,31967,4934190
Alabama,,4/12/21,32519,4934190
Alabama,,4/13/21,32914,4934190
Alabama,,4/14/21,33381,4934190
Alabama,,4/15/21,33007,4934190
Alabama,,4/16/21,32034,4934190
Alabama,,4/17/21,30766,4934190
Alabama,,4/18/21,29953,4934190
Alabama,,4/19/21,29296,4934190
Alabama,,4/20/21,28635,4934190
Alabama,,4/21/21,27377,4934190
Alabama,,4/22/21,26702,4934190
Alabama,,4/23/21,26294,4934190
Alabama,,4/24/21,25832,4934190
Alabama,,4/25/21,25590,4934190
Alabama,,4/26/21,25809,4934190
Alabama,,4/27/21,24561,4934190
Alabama,,4/28/21,23898,4934190
Alabama,,4/29/21,23662,4934190
Alabama,,4/30/21,23076,4934190
Alabama,,5/1/21,22271,4934190
Alabama,,5/2/21,21615,4934190
Alabama,,5/3/21,21299,4934190
Alabama,,5/4/21,20711,4934190
Alabama,,5/5/21,20444,4934190
Alabama,,5/6/21,16178,4934190
Alabama,,5/7/21,19313,4934190
Alabama,,5/8/21,20088,4934190
Alabama,,5/9/21,20784,4934190
Alabama,,5/10/21,20899,4934190
Alabama,,5/11/21,18461,4934190
Alabama,,5/12/21,17244,4934190
Alabama,,5/13/21,22667,4934190
Alabama,,5/14/21,19034,4934190
Alabama,,5/15/21,17613,4934190
Alaska,,1/13/21,2842,724357
Alaska,,1/14/21,3379,724357
Alaska,,1/15/21,4400,724357
Alaska,,1/16/21,4381,724357
Alaska,,1/17/21,4369,724357
Alaska,,1/18/21,4362,724357
Alaska,,1/19/21,4356,724357
Alaska,,1/20/21,4230,724357
Alaska,,1/21/21,4187,724357
Alaska,,1/22/21,4580,724357
Alaska,,1/23/21,4997,724357
Alaska,,1/24/21,5225,724357
Alaska,,1/25/21,5003,724357
Alaska,,1/26/21,4545,724357
Alaska,,1/27/21,4758,724357
Alaska,,1/28/21,4850,724357
Alaska,,1/29/21,4186,724357
Alaska,,1/30/21,3846,724357
Alaska,,1/31/21,3619,724357
Alaska,,2/1/21,3570,724357
Alaska,,2/2/21,3613,724357
Alaska,,2/3/21,3453,724357
Alaska,,2/4/21,3440,724357
Alaska,,2/5/21,3372,724357
Alaska,,2/6/21,3411,724357
Alaska,,2/7/21,3785,724357
Alaska,,2/8/21,4131,724357
Alaska,,2/9/21,4204,724357
Alaska,,2/10/21,4356,724357
Alaska,,2/11/21,4620,724357
Alaska,,2/12/21,4776,724357
Alaska,,2/13/21,5142,724357
Alaska,,2/14/21,5393,724357
Alaska,,2/15/21,5212,724357
