date,COUNTY,total_vax
2021-02-15,ANDERSON,7842
2021-02-15,BEDFORD,4287
2021-02-15,BENTON,2277
2021-02-15,BLEDSOE,1237
2021-02-15,BLOUNT,12612
2021-02-15,BRADLEY,7429
2021-02-15,CAMPBELL,3623
2021-02-15,CANNON,1000
2021-02-15,CARROLL,4251
2021-02-15,CARTER,6400
2021-02-15,CHEATHAM,3706
2021-02-15,CHESTER,1842
2021-02-15,CLAIBORNE,3338
2021-02-15,CLAY,769
2021-02-15,COCKE,3368
2021-02-15,COFFEE,5580
2021-02-15,CROCKETT,1981
2021-02-15,CUMBERLAND,8531
2021-02-15,DAVIDSON,70433
2021-02-15,DECATUR,1460
2021-02-15,DEKALB,2106
2021-02-15,DICKSON,5160
2021-02-15,DYER,3970
2021-02-15,FAYETTE,4923
2021-02-15,FENTRESS,1667
2021-02-15,FRANKLIN,4234
2021-02-15,GIBSON,5843
2021-02-15,GILES,2633
2021-02-15,GRAINGER,2467
2021-02-15,GREENE,8588
2021-02-15,GRUNDY,829
2021-02-15,HAMBLEN,4858
2021-02-15,HAMILTON,35895
2021-02-15,HANCOCK,793
2021-02-15,HARDEMAN,3079
2021-02-15,HARDIN,3252
2021-02-15,HAWKINS,6002
2021-02-15,HAYWOOD,2048
2021-02-15,HENDERSON,3901
2021-02-15,HENRY,5201
2021-02-15,HICKMAN,2169
2021-02-15,HOUSTON,885
2021-02-15,HUMPHREYS,1973
2021-02-15,JACKSON,1344
2021-02-15,JEFFERSON,5172
2021-02-15,JOHNSON,1796
2021-02-15,KNOX,47624
2021-02-15,LAKE,709
2021-02-15,LAUDERDALE,2424
2021-02-15,LAWRENCE,4111
2021-02-15,LEWIS,1268
2021-02-15,LINCOLN,3233
2021-02-15,LOUDON,6866
2021-02-15,MACON,2195
2021-02-15,MADISON,13508
2021-02-15,MARION,2817
2021-02-15,MARSHALL,3982
2021-02-15,MAURY,11183
2021-02-15,MCMINN,4003
2021-02-15,MCNAIRY,3520
2021-02-15,MEIGS,1578
2021-02-15,MONROE,3691
2021-02-15,MONTGOMERY,11811
2021-02-15,MOORE,440
2021-02-15,MORGAN,2256
2021-02-15,OBION,3606
2021-02-15,OUT OF STATE,24028
2021-02-15,OVERTON,2337
2021-02-15,PERRY,984
2021-02-15,PICKETT,763
2021-02-15,POLK,1505
2021-02-15,PUTNAM,10297
2021-02-15,RHEA,2928
2021-02-15,ROANE,4406
2021-02-15,ROBERTSON,6734
2021-02-15,RUTHERFORD,21305
2021-02-15,SCOTT,2637
2021-02-15,SEQUATCHIE,1272
2021-02-15,SEVIER,7715
2021-02-15,SHELBY,72861
